Hotel ID,Hotel Name,Hotel Rank,Hotel Address,Total Score,Vị trí,Độ sạch sẽ,Dịch vụ,Tiện nghi,Đáng giá tiền,Sự thoải mái và chất lượng phòng
7_23,"Căn hộ 42 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Studio Balcony Sea View)",4 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam",2.0,2.0,2.0,8.045620437956204,7.701666666666666,2.0,8.299999999999999
7_24,"Chung cư 35 m² 2 phòng ngủ, 1 phòng tắm riêng ở Phước Long (Hung Thanh Luxury Apartment)",4 sao trên 5,"Phước Long, Nha Trang, Việt Nam",7.759564541213063,8.005485893416928,7.835275590551181,8.045620437956204,7.701666666666666,7.923015873015873,8.299999999999999
7_25,"Căn hộ 1000 m² 14 phòng ngủ, 14 phòng tắm riêng ở Suối Hải (Motel An Bình _ homestay)",,"Cam Đức, Nha Trang, Việt Nam",10.0,10.0,10.0,10.0,10.0,10.0,8.299999999999999
7_26,Khu Nghỉ Dưỡng Radisson Blu Vịnh Cam Ranh (Radisson Blu Resort Cam Ranh),5 sao trên 5,"D12 ABC Đại lộ Nguyễn Tất Thành, Cam Hải Đông, Cam Ranh, Cam Hải Đông, Nha Trang, Việt Nam, 65000",8.8,8.7,9.1,9.1,8.9,9.2,8.299999999999999
7_27,"Căn hộ 45 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hải (Luxury apartment with sea view)",5 sao trên 5,"Vĩnh Hải, Nha Trang, Việt Nam",7.0,6.0,6.5,8.045620437956204,7.701666666666666,7.6,8.299999999999999
7_28,"Chung cư 50 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Family Sea View + Free Pool at Panorama Nha Trang )",5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam",6.9,9.0,8.0,8.045620437956204,7.701666666666666,7.0,8.299999999999999
7_29,"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (Angela Serviced Apartment (near Airport Cam Ranh))",5 sao trên 5,"The Arena Cam Ranh, Cam Nghia, Cam Ranh, Khanh Hoa, Viet Nam, Cam Hải Đông, Nha Trang, Việt Nam, 650000",8.6,9.0,9.0,8.0,8.0,9.0,8.299999999999999
7_30,"Nhà riêng 68 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Cozy Sea View - Family 2 Bedroom)",,"Vĩnh Phước, Nha Trang, Việt Nam",7.759564541213063,8.005485893416928,7.835275590551181,8.045620437956204,7.701666666666666,7.923015873015873,8.299999999999999
8_1,"Biệt thự 300 m² 2 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Rooftop pool villa by the bay)",4.5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam",7.759564541213063,8.005485893416928,7.835275590551181,8.045620437956204,7.701666666666666,7.923015873015873,8.299999999999999
8_2,"Biệt thự 29 m² 1 phòng ngủ, 1 phòng tắm riêng ở Cam Hải Đông (Mountains View- H2B Homestay)",4.5 sao trên 5,"Cam Hải Đông, Nha Trang, Việt Nam",7.759564541213063,8.005485893416928,7.835275590551181,8.045620437956204,7.701666666666666,7.923015873015873,8.299999999999999
8_3,Căn hộ studio 37 m² có 0 phòng tắm riêng ở Lộc Thọ (Panorama Nha Trang With Pretty View),5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam",2.0,2.0,2.0,2.0,2.0,2.0,8.299999999999999
8_4,"Căn hộ 42 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Studio Balcony Sea View)",5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam",2.0,2.0,2.0,8.045620437956204,7.701666666666666,2.0,8.299999999999999
8_5,"Chung cư 35 m² 2 phòng ngủ, 1 phòng tắm riêng ở Phước Long (Hung Thanh Luxury Apartment)",4 sao trên 5,"Phước Long, Nha Trang, Việt Nam",7.759564541213063,8.005485893416928,7.835275590551181,8.045620437956204,7.701666666666666,7.923015873015873,8.299999999999999
8_6,"Căn hộ 1000 m² 14 phòng ngủ, 14 phòng tắm riêng ở Suối Hải (Motel An Bình _ homestay)",,"Cam Đức, Nha Trang, Việt Nam",10.0,10.0,10.0,10.0,10.0,10.0,8.299999999999999
8_7,Khu Nghỉ Dưỡng Radisson Blu Vịnh Cam Ranh (Radisson Blu Resort Cam Ranh),5 sao trên 5,"D12 ABC Đại lộ Nguyễn Tất Thành, Cam Hải Đông, Cam Ranh, Cam Hải Đông, Nha Trang, Việt Nam, 65000",8.8,8.7,9.1,9.1,8.9,9.2,8.299999999999999
